"filename", "language", "TypeScript", "TypeScript JSX", "SCSS", "CSS", "XML", "comment", "blank", "total"
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\authForm-slice\authForm\ui\ui.tsx", "TypeScript JSX", 0, 105, 0, 0, 0, 0, 7, 112
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowDocumentView\api\index.ts", "TypeScript", 19, 0, 0, 0, 0, 0, 3, 22
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowDocumentView\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowDocumentView\ui\ui.module.scss", "SCSS", 0, 0, 43, 0, 0, 0, 6, 49
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowDocumentView\ui\ui.tsx", "TypeScript JSX", 0, 64, 0, 0, 0, 0, 5, 69
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowHistoryGraph\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowHistoryGraph\model\index.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 2, 15
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowHistoryGraph\ui\ui.module.scss", "SCSS", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowHistoryGraph\ui\ui.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 0, 7, 67
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowManagement\api\index.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 2, 12
"c:\Users\mack1\OneDrive\Рабочий стол\i.development\flows\src\features\flowView-slice\flowManagement\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 2
